"","state_name","state_postal","KWH","DOLLAREL","HDD65","CDD65","UATYP10","TYPEHUQ","MONEYPY","ENERGYASST20","BA_climate","DIVISION","YEARMADERANGE","KOWNRENT","COOLCNTL","HEATCNTL","LGTINLED","SMARTMETER","TYPETHERM","ATHOME"
"111","South Carolina","SC",12043.75,1573.39,2002,2264,"U",3,1,-2,"Mixed-Humid","South Atlantic",2,2,4,-2,0,0,0,5
"112","Texas","TX",20462.57,3112.86,1849,2806,"U",2,11,-2,"Hot-Humid","West South Central",1,1,3,4,2,1,3,5
"113","North Carolina","NC",8689.42,1170.35,2690,1725,"R",2,11,-2,"Mixed-Humid","South Atlantic",1,2,-2,99,0,0,0,3
"114","Washington","WA",11136.99,1140.56,5590,568,"C",2,4,-2,"Cold","Pacific",3,1,-2,1,0,0,1,5
"115","California","CA",9118.41,1784.96,2171,780,"U",2,16,-2,"Marine","Pacific",2,1,2,2,2,1,1,5
"116","Michigan","MI",1940.97,561.98,6731,670,"R",2,13,-2,"Cold","East North Central",4,1,2,2,3,0,1,5
"117","New Jersey","NJ",2541.36,502.51,4317,1315,"U",5,15,-2,"Mixed-Humid","Middle Atlantic",3,2,4,5,3,-4,0,5
"118","New Mexico","NM",24095.35,3086.55,2728,2506,"C",2,10,-2,"Hot-Dry","Mountain South",2,1,1,1,1,-4,3,5
"119","New Jersey","NJ",30533.48,5754.9,4398,1251,"U",2,16,-2,"Mixed-Humid","Middle Atlantic",3,1,2,4,2,-4,2,5
"120","Maryland","MD",23912.12,3346.85,3563,1498,"R",2,15,-2,"Mixed-Humid","South Atlantic",4,1,1,1,2,1,1,5
"121","Massachusetts","MA",4581.29,1249.07,5433,843,"U",2,16,-2,"Cold","New England",1,1,3,3,3,1,2,5
"122","Wisconsin","WI",16066.17,2434.91,7079,656,"U",2,16,-2,"Cold","East North Central",7,1,3,3,3,-4,2,5
"123","Texas","TX",8041.83,805.2,1114,3489,"U",5,1,1,"Hot-Humid","West South Central",1,2,2,2,0,-4,2,3
